unitid,"xgrcohrt",grcohrt,"xugenter",ugentern,"xpgrcohr",pgrcohrt,"xrrftct",rrftct,"xrrftex",rrftex,"xrrftcta",rrftcta,"xret_nmf",ret_nmf,"xret_pcf",ret_pcf,"xrrptct",rrptct,"xrrptex",rrptex,"xrrptcta",rrptcta,"xret_nmp",ret_nmp,"xret_pcp",ret_pcp
219091,"R",162,"R",272,"R",60,"R",155,"R",0,"R",155,"R",91,"R",59,"R",1,"R",0,"R",1,"R",0,"R",0
219125,"A",,"A",,"A",,"R",39,"Z",0,"R",39,"R",32,"R",82,"Z",0,"Z",0,"Z",0,"Z",0,"A",
219143,"R",581,"R",615,"R",94,"R",564,"R",5,"R",559,"R",467,"R",84,"R",21,"R",0,"R",21,"R",15,"R",71
219170,"R",0,"R",10,"R",0,"R",12,"Z",0,"R",12,"R",10,"R",83,"Z",0,"Z",0,"Z",0,"Z",0,"A",
219189,"R",318,"R",439,"R",72,"R",322,"R",4,"R",318,"R",263,"R",83,"R",22,"R",0,"R",22,"R",15,"R",68
219198,"R",139,"R",231,"R",60,"R",106,"R",0,"R",106,"R",80,"R",75,"R",22,"R",0,"R",22,"R",13,"R",59
219204,"R",28,"R",403,"R",7,"R",37,"Z",0,"R",37,"R",16,"R",43,"R",45,"Z",0,"R",45,"R",17,"R",38
219213,"R",25,"R",119,"R",21,"R",32,"Z",0,"R",32,"R",3,"R",9,"R",38,"Z",0,"R",38,"R",5,"R",13
219259,"R",389,"R",669,"R",58,"R",295,"R",0,"R",295,"R",209,"R",71,"R",4,"R",0,"R",4,"R",2,"R",50
219277,"R",154,"R",270,"R",57,"R",244,"R",0,"R",244,"R",105,"R",43,"R",114,"R",0,"R",114,"R",35,"R",31
219295,"R",76,"R",271,"R",28,"R",82,"R",0,"R",82,"R",50,"R",61,"R",5,"R",0,"R",5,"R",2,"R",40
