unitid,"xbarevct",barevct,"xbaexclu",baexclu,"xbaac150",baac150,"xbanc100",banc100,"xbagr100",bagr100,"xbanc150",banc150,"xbagr150",bagr150,"xbaaexcl",baaexcl,"xbaac200",baac200,"xbanc20a",banc200a,"xbanc200",banc200,"xbagr200",bagr200,"xl4revct",l4revct,"xl4exclu",l4exclu,"xl4ac150",l4ac150,"xl4nc100",l4nc100,"xl4gr100",l4gr100,"xl4nc150",l4nc150,"xl4gr150",l4gr150,"xl4aexcl",l4aexcl,"xl4ac200",l4ac200,"xl4nc20a",l4nc200a,"xl4nc200",l4nc200,"xl4gr200",l4gr200
110538,"R",1931,"R",0,"R",1931,"R",336,"R",17,"R",1034,"R",54,"R",0,"R",1931,"R",97,"R",1131,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110547,"R",495,"R",0,"R",495,"R",31,"R",6,"R",163,"R",33,"R",0,"R",495,"R",36,"R",199,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110556,"R",1885,"R",0,"R",1885,"R",227,"R",12,"R",858,"R",46,"R",0,"R",1885,"R",142,"R",1000,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110565,"R",2655,"R",0,"R",2655,"R",381,"R",14,"R",1303,"R",49,"R",0,"R",2655,"R",203,"R",1506,"R",57,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110574,"R",669,"R",0,"R",669,"R",109,"R",16,"R",289,"R",43,"R",0,"R",669,"R",32,"R",321,"R",48,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110583,"R",3214,"R",0,"R",3214,"R",375,"R",12,"R",1536,"R",48,"R",0,"R",3214,"R",295,"R",1831,"R",57,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110592,"R",1184,"R",0,"R",1184,"R",126,"R",11,"R",412,"R",35,"R",0,"R",1184,"R",83,"R",495,"R",42,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110608,"R",2740,"R",0,"R",2740,"R",252,"R",9,"R",1097,"R",40,"R",0,"R",2740,"R",243,"R",1340,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110617,"R",2055,"R",0,"R",2055,"R",178,"R",9,"R",865,"R",42,"R",0,"R",2055,"R",158,"R",1023,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110635,"R",3746,"R",0,"R",3746,"R",2294,"R",61,"R",3330,"R",89,"Z",0,"R",3746,"R",59,"R",3389,"R",90,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110644,"R",4340,"R",21,"R",4319,"R",1843,"R",43,"R",3493,"R",81,"R",0,"R",4319,"R",110,"R",3603,"R",83,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110653,"R",3620,"R",1,"R",3619,"R",1853,"R",51,"R",2872,"R",79,"R",1,"R",3618,"R",54,"R",2926,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110662,"R",4203,"R",8,"R",4195,"R",2489,"R",59,"R",3748,"R",89,"R",1,"R",4194,"R",67,"R",3815,"R",91,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110671,"R",3051,"R",0,"R",3051,"R",1118,"R",37,"R",1941,"R",64,"R",0,"R",3051,"R",75,"R",2016,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110680,"R",3122,"R",0,"R",3122,"R",1657,"R",53,"R",2681,"R",86,"R",0,"R",3122,"R",72,"R",2753,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110705,"R",3398,"R",0,"R",3398,"R",1597,"R",47,"R",2666,"R",78,"R",0,"R",3398,"R",56,"R",2722,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110714,"R",2869,"R",0,"R",2869,"R",1369,"R",48,"R",1998,"R",70,"R",0,"R",2869,"R",69,"R",2067,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110875,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",104,"R",0,"R",104,"R",0,"R",0,"R",81,"R",78,"R",0,"R",104,"R",0,"R",81,"R",78
110918,"R",8,"R",0,"R",8,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",8,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111009,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",815,"R",0,"R",815,"R",671,"R",82,"R",681,"R",84,"R",0,"R",815,"R",9,"R",690,"R",85
111054,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",242,"R",0,"R",242,"R",172,"R",71,"R",196,"R",81,"R",0,"R",242,"R",0,"R",196,"R",81
111081,"R",112,"R",0,"R",112,"R",50,"R",45,"R",68,"R",61,"Z",0,"R",112,"R",3,"R",71,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111188,"R",99,"R",0,"R",99,"R",43,"R",43,"R",53,"R",54,"R",0,"R",99,"R",2,"R",55,"R",56,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111434,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",212,"R",0,"R",212,"R",11,"R",5,"R",28,"R",13,"Z",0,"R",212,"R",11,"R",39,"R",18
111461,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1265,"R",0,"R",1265,"R",128,"R",10,"R",343,"R",27,"Z",0,"R",1265,"R",100,"R",443,"R",35
111513,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",13,"R",0,"R",13,"R",10,"R",77,"R",10,"R",77,"R",0,"R",13,"R",0,"R",10,"R",77
