UNITID,includeConference,includeCharacter,includeReason
198215,,"20,122,011,201,020,000,000",C
198303,,"20,122,011,201,020,000,000",C
198385,,"20,122,011,201,020,000,000",C
198419,Conference,"20,122,011,201,020,000,000",B
198464,Conference,"20,122,011,201,020,000,000",B
198507,,"20,122,011,201,020,000,000",C
198516,,"20,122,011,201,020,000,000",C
198543,,"20,122,011,201,020,000,000",C
198561,,"2,012,201,120,102,000",C
198598,,"20,122,011,201,020,000,000",C
198695,,"20,122,011,201,020,000,000",C
198756,,"20,122,011,201,020,000,000",C
198808,,"2,011,201,020,092,000",C
198835,,"20,122,011,201,020,000,000",C
198862,,"20,122,011,201,020,000,000",C
198899,,"20,122,011,201,020,000,000",C
198950,,"20,122,011,201,020,000,000",C
198969,,"20,122,011,201,020,000,000",C
199032,,"20,122,011,201,020,000,000",C
199069,,"2,012,201,120,102,000",C
199102,,"20,122,011,201,020,000,000",C
199111,,"20,122,011,201,020,000,000",C
199120,Conference,"20,122,011,201,020,000,000",B
199139,Conference,"20,122,011,201,020,000,000",B
199148,,"20,122,011,201,020,000,000",C
199157,,"20,122,011,201,020,000,000",C
199184,,"20,122,011,201,020,000,000",C
199193,Conference,"20,122,011,201,020,000,000",B
199209,,"20,122,011,201,020,000,000",C
199218,,"20,122,011,201,020,000,000",C
199272,,"20,122,011,201,020,000,000",C
199281,,"20,122,011,201,020,000,000",C
199306,,"20,122,011,201,020,000,000",C
199315,,2012,C
199412,,"20,122,011,201,020,000,000",C
199458,,"20,122,011,201,020,000,000",C
199582,,"20,122,011,201,020,000,000",C
199607,,"20,122,011,201,020,000,000",C
199643,,2008,C
199847,Conference,,F
199865,,"20,122,011,201,020,000,000",C
199962,,"201,220,112,010",C
199999,,"20,122,011,201,020,000,000",C
200004,,"20,122,011,201,020,000,000",C
200059,,"20,122,011",C
200156,,"20,122,011,201,020,000,000",C
200217,,"20,122,011,201,020,000,000",C
200253,,"20,122,011,201,020,000,000",C
200280,,"20,122,011,201,020,000,000",C
200332,,"20,122,011,201,020,000,000",C
200572,,"20,122,011,201,020,000,000",C
200800,Conference,2012,B
201061,,"20,122,011,201,020,000,000",C
201104,,"20,122,011,201,020,000,000",C
201371,,"20,122,011,201,020,000,000",C
201441,Conference,"20,122,011,201,020,000,000",B
201548,,"20,122,011,201,020,000,000",C
201645,,"20,122,011,201,020,000,000",C
201654,,"20,122,011,201,020,000,000",C
201690,,"20,122,011,201,020,000,000",C
201858,,"20,122,011,201,020,000,000",C
201885,Conference,"20,122,011,201,020,000,000",B
201964,,"20,092,008",C
202046,,"20,122,011,201,020,000,000",C
202134,Conference,"20,122,011,201,020,000,000",B
202170,,"20,122,011,201,020,000,000",C
202480,,"20,122,011,201,020,000,000",C
202514,,"20,122,011,201,020,000,000",C
202763,,"20,122,011,201,020,000,000",C
202912,,2012,C
203085,,"201,020,092,008",C
203128,,"20,122,011,201,020,000,000",C
203368,,"20,122,011,201,020,000,000",C
203517,Conference,"20,122,011,201,020,000,000",B
203535,,"20,122,011,201,020,000,000",C
203580,,"20,122,011,201,020,000,000",C
203775,,"20,122,011,201,020,000,000",C
203845,,"20,122,011,201,020,000,000",C
204024,Conference,"20,122,011,201,020,000,000",B
204176,,"20,122,011,201,020,000,000",C
204185,,"20,122,011,201,020,000,000",C
204194,,"20,122,011,201,020,000,000",C
204200,,"20,122,011,201,020,000,000",C
204264,,"20,122,011,201,020,000,000",C
204468,,"20,122,011,201,020,000,000",C
204501,,"20,122,011,201,020,000,000",C
204617,,"20,122,011,201,020,000,000",C
204635,,"20,122,011,201,020,000,000",C
204796,Conference,"20,122,011,201,020,000,000",B
204857,Conference,"20,122,011,201,020,000,000",B
204909,,"20,122,011,201,020,000,000",C
204936,,"20,122,011,201,020,000,000",C
205027,,"2,011,201,020,092,000",C
205957,,"20,122,011,201,020,000,000",C
206048,,"201,020,092,008",C
206084,Conference,,F
206330,,"20,092,008",C
206349,,"20,122,011,201,020,000,000",C
206437,,"20,122,011,201,020,000,000",C
206507,,"20,122,011,201,020,000,000",C
206589,,"20,122,011,201,020,000,000",C
206604,Conference,,F
206622,Conference,"20,122,011,201,020,000,000",B
206695,Conference,,F
206817,,"20,122,011,201,020,000,000",C
206835,,"201,220,112,010",C
206941,,"20,122,011,201,020,000,000",C
207041,,"20,122,011,201,020,000,000",C
207157,,"20,122,011,201,020,000,000",C
207263,,"20,122,011,201,020,000,000",C
207306,,"20,122,011,201,020,000,000",C
207324,,"20,122,011,201,020,000,000",C
207351,,"20,122,011,201,020,000,000",C
207388,Conference,"20,122,011,201,020,000,000",B
207403,,"20,122,011,201,020,000,000",C
207458,,"20,122,011,201,020,000,000",C
207500,Conference,"20,122,011,201,020,000,000",B
207564,Conference,,F
207582,,"20,122,011,201,020,000,000",C
207661,,"2,012,201,120,102,000",C
207689,,"201,220,092,008",C
207722,,"20,122,011,201,020,000,000",C
207847,,"20,122,011,201,020,000,000",C
207856,,"20,122,011,201,020,000,000",C
207865,,"20,122,011,201,020,000,000",C
207971,Conference,"20,122,011,201,020,000,000",B
