UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4NC200,L4NC200,XL4GR200,L4GR200 
110219,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",47,"R",0,"R",47,"R",1,"R",2,"R",1,"R",2,"R",0,"R",47,"R",0,"R",1,"R",2
110246,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",816,"R",0,"R",816,"R",107,"R",13,"R",222,"R",27,"R",0,"R",816,"R",105,"R",327,"R",40
110334,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",621,"R",0,"R",621,"R",64,"R",10,"R",185,"R",30,"R",0,"R",621,"R",72,"R",257,"R",41
110361,"R",187,"R",0,"R",187,"R",81,"R",43,"R",93,"R",50,"R",0,"R",187,"R",3,"R",96,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110370,"R",154,"R",0,"R",154,"R",42,"R",27,"R",92,"R",60,"Z",0,"R",154,"R",1,"R",93,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110404,"R",252,"R",0,"R",252,"R",203,"R",81,"R",223,"R",88,"R",0,"R",252,"R",0,"R",223,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110413,"R",331,"R",0,"R",331,"R",196,"R",59,"R",229,"R",69,"Z",0,"R",331,"R",4,"R",233,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110422,"R",2565,"R",0,"R",2565,"R",587,"R",23,"R",1780,"R",69,"Z",0,"R",2565,"R",94,"R",1874,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110468,"R",63,"R",0,"R",63,"R",4,"R",6,"R",7,"R",11,"R",0,"R",63,"R",1,"R",8,"R",13,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110486,"R",679,"R",0,"R",679,"R",99,"R",15,"R",302,"R",44,"Z",0,"R",679,"R",42,"R",344,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
